time_period,time_identifier,geographic_level,country_code,country_name,breakdown_topic,breakdown,progression_rate,high_tariff_progression_rate,number_of_he_students,number_of_high_tariff_he_students,number_of_students
202122,Academic year,National,E92000001,England,Ethnicity Minor,Caribbean,45.8,6.4,3190,447,6964
202122,Academic year,National,E92000001,England,Ethnicity Minor,African,71.2,16.0,13075,2938,18368
202122,Academic year,National,E92000001,England,Ethnicity Minor,Any other Black / African / Caribbean background,58.6,11.1,2138,405,3651
202122,Academic year,National,E92000001,England,Ethnicity Minor,Chinese,83.8,45.6,1552,844,1851
202122,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Ethnic Group,61.7,17.1,5320,1474,8619
202122,Academic year,National,E92000001,England,Ethnicity Minor,Unknown,46.2,13.8,2810,839,6088
202122,Academic year,National,E92000001,England,POLAR,Q1 - Most Disadvantaged,31.7,5.7,32420,5873,102400
202122,Academic year,National,E92000001,England,POLAR,Q2,39.7,8.5,40981,8823,103249
202122,Academic year,National,E92000001,England,POLAR,Q3,46.6,11.3,48671,11764,104542
202122,Academic year,National,E92000001,England,POLAR,Q4,53.7,15.6,57721,16758,107541
202122,Academic year,National,E92000001,England,POLAR,Q5 - Most Advantaged,61.8,23.8,64761,24946,104803
202122,Academic year,National,E92000001,England,POLAR,Unknown,40.5,10.3,590,150,1455
202122,Academic year,National,E92000001,England,Looked After Status,Looked after continuously for 12 months or more,14.0,2.0,550,80,3890
202122,Academic year,National,E92000001,England,Looked After Status,All Other Pupils,47.0,13.0,244590,68230,520110
202122,Academic year,National,E92000001,England,Children in Need,Children in Need,14.0,2.0,2110,320,15600
202122,Academic year,National,E92000001,England,Children in Need,All Other Pupils,48.0,13.0,243030,67990,508390
202122,Academic year,National,E92000001,England,SEN Status,Any special educational need,20.1,3.4,14867,2524,73976
202122,Academic year,National,E92000001,England,SEN Status,No Identified special educational need,51.2,14.6,230277,65790,450014
202122,Academic year,National,E92000001,England,Ethnicity Major,White,41.8,11.8,166515,47079,397942
202122,Academic year,National,E92000001,England,Ethnicity Major,Mixed / Multiple ethnic groups,51.5,15.2,12728,3761,24710
202122,Academic year,National,E92000001,England,Ethnicity Major,Asian / Asian British,68.3,19.7,39368,11371,57648
202122,Academic year,National,E92000001,England,Ethnicity Major,Black / African / Caribbean / Black British,63.5,13.1,18403,3790,28983
202122,Academic year,National,E92000001,England,Ethnicity Major,Other Ethnic Group,61.7,17.1,5320,1474,8619
202122,Academic year,National,E92000001,England,Ethnicity Major,Unknown,46.2,13.8,2810,839,6088
202122,Academic year,National,E92000001,England,Care Leaver,Care Leaver,12.0,2.0,730,100,5980
202122,Academic year,National,E92000001,England,Care Leaver,All Other Pupils,47.0,13.0,244410,68210,518010
202223,Academic year,National,E92000001,England,FSM Status,Free School Meals,29.0,6.1,22197,4707,76561
202223,Academic year,National,E92000001,England,FSM Status,All Other Pupils,49.8,16.8,232346,78353,466509
202223,Academic year,National,E92000001,England,Disadvantage,Disadvantaged,31.9,6.9,42863,9302,134519
202223,Academic year,National,E92000001,England,Disadvantage,All Other Pupils,51.8,18.1,211680,73758,408551
202223,Academic year,National,E92000001,England,SEN Provision,SEN support / SEN without an EHC plan,24.9,5.2,14179,2978,56849
202223,Academic year,National,E92000001,England,SEN Provision,"Education, health and care plan",9.3,1.6,1938,342,20848
202223,Academic year,National,E92000001,England,SEN Provision,No SEN provision,51.2,17.1,238426,79740,465373
202223,Academic year,National,E92000001,England,First Language,English,44.0,14.6,198629,65926,451334
202223,Academic year,National,E92000001,England,First Language,Other than English,61.1,18.7,55213,16903,90413
202223,Academic year,National,E92000001,England,First Language,Unclassified,53.0,17.5,701,231,1323
202223,Academic year,National,E92000001,England,Sex,Female,53.6,17.6,142673,46857,266093
202223,Academic year,National,E92000001,England,Sex,Male,40.4,13.1,111870,36203,276977
202223,Academic year,National,E92000001,England,Ethnicity Minor,English / Welsh / Scottish / Northern Irish / British,41.2,13.4,154843,50557,376276
202223,Academic year,National,E92000001,England,Ethnicity Minor,Irish,56.3,24.1,953,407,1692
202223,Academic year,National,E92000001,England,Ethnicity Minor,Traveller of Irish Heritage,11.5,5.1,18,8,156
202223,Academic year,National,E92000001,England,Ethnicity Minor,Gypsy / Roma,16.8,0.5,217,6,1294
202223,Academic year,National,E92000001,England,Ethnicity Minor,Any Other White Background,51.1,17.0,14579,4845,28510
202223,Academic year,National,E92000001,England,Ethnicity Minor,White and Black Caribbean,37.3,9.4,2808,704,7527
202223,Academic year,National,E92000001,England,Ethnicity Minor,White and Black African,55.2,16.8,1805,549,3268
202223,Academic year,National,E92000001,England,Ethnicity Minor,White and Asian,59.6,25.8,3677,1595,6172
202223,Academic year,National,E92000001,England,Ethnicity Minor,Any other Mixed / Multiple ethnic background,56.7,20.3,5754,2057,10150
202223,Academic year,National,E92000001,England,Ethnicity Minor,Indian,74.9,33.2,11584,5144,15472
202223,Academic year,National,E92000001,England,Ethnicity Minor,Pakistani,60.1,15.2,14145,3579,23535
202223,Academic year,National,E92000001,England,Ethnicity Minor,Bangladeshi,69.6,22.5,6883,2226,9884
