"------------------------------------------------------------------","","","",""
"Next steps: what is the experience of students from a care background in education?","","","",""
"Supporting data table","","","",""
"------------------------------------------------------------------","","","",""
"Group variables: Row option, Response","","","",""
"Statistics: Proportion of respondents","","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","","",""
"Survey responses are weighted to represent the entire sample population.","","","",""
"Percentages are rounded to the nearest whole number.","","","",""
"------------------------------------------------------------------","","","",""
"Question asked:","","","",""
"How important are or were the following factors to you when choosing your first year accommodation? ","","","",""
"------------------------------------------------------------------","","","",""
"------------------------------------------------------------------","","","",""
"Row option","Response","Class","Class Level","Proportion of respondents"
" Option to live in the same property for more than one academic year","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Option to live in the same property for more than one academic year","Not important","In care when they were primary school age (11 and under)","Yes","45%"
" Reviews of the accommodation","Important","In care when they were primary school age (11 and under)","No","56%"
" Reviews of the accommodation","Neutral","In care when they were primary school age (11 and under)","No","25%"
" Reviews of the accommodation","Not important","In care when they were primary school age (11 and under)","No","20%"
" Reviews of the accommodation","Important","In care when they were primary school age (11 and under)","Yes","56%"
" Reviews of the accommodation","Neutral","In care when they were primary school age (11 and under)","Yes","24%"
" Reviews of the accommodation","Not important","In care when they were primary school age (11 and under)","Yes","19%"
" Availability of a fully catered option","Important","In care when they were primary school age (11 and under)","No","22%"
" Availability of a fully catered option","Neutral","In care when they were primary school age (11 and under)","No","19%"
" Availability of a fully catered option","Not important","In care when they were primary school age (11 and under)","No","59%"
" Availability of a fully catered option","Important","In care when they were primary school age (11 and under)","Yes","18%"
" Availability of a fully catered option","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Availability of a fully catered option","Not important","In care when they were primary school age (11 and under)","Yes","61%"
" Living with other first year students","Important","In care when they were primary school age (11 and under)","No","40%"
" Living with other first year students","Neutral","In care when they were primary school age (11 and under)","No","30%"
" Living with other first year students","Not important","In care when they were primary school age (11 and under)","No","30%"
" Living with other first year students","Important","In care when they were primary school age (11 and under)","Yes","47%"
" Living with other first year students","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Living with other first year students","Not important","In care when they were primary school age (11 and under)","Yes","30%"
" Guarantor requirement was waived","Important","In care when they were between the ages of 11 and 16","No","24%"
