"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Subject group (CAH2)"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Subject group (CAH2),Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2022,"Not care experienced","(CAH15-01) sociology, social policy and anthropology","102,750","18,910","4.3%","4.4%"
2022,"Not care experienced","(CAH15-02) economics","56,480","9,800","2.4%","2.3%"
2022,"Not care experienced","(CAH15-03) politics","44,510","8,250","1.9%","1.9%"
2022,"Not care experienced","(CAH15-04) health and social care","48,690","9,170","2.1%","2.1%"
2022,"Not care experienced","(CAH16-01) law","115,560","21,750","4.9%","5.0%"
2022,"Not care experienced","(CAH17-01) business and management","261,370","48,610","11.0%","11.2%"
2022,"Not care experienced","(CAH19-01) English studies","49,870","9,880","2.1%","2.3%"
2022,"Not care experienced","(CAH19-02) Celtic studies","490","120","0.0%","0.0%"
2022,"Not care experienced","(CAH19-04) languages and area studies","25,480","5,160","1.1%","1.2%"
2022,"Not care experienced","(CAH20-01) history and archaeology","59,710","11,540","2.5%","2.7%"
2022,"Not care experienced","(CAH20-02) philosophy and religious studies","19,720","3,690","0.8%","0.9%"
2022,"Not care experienced","(CAH22-01) education and teaching","72,810","14,500","3.1%","3.3%"
2022,"Not care experienced","(CAH23-01) combined and general studies","8,800","1,860","0.4%","0.4%"
2022,"Not care experienced","(CAH24-01) media, journalism and communications","49,030","9,770","2.1%","2.3%"
2022,"Not care experienced","(CAH25-01) creative arts and design","144,150","28,440","6.1%","6.6%"
2022,"Not care experienced","(CAH25-02) performing arts","76,370","14,220","3.2%","3.3%"
2022,"Not care experienced","(CAH26-01) geography, earth and environmental studies","45,200","8,730","1.9%","2.0%"
2022,"Care experienced","(CAH01-01) medicine and dentistry","1,330","120","3.6%","1.8%"
2022,"Care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","280","50","0.8%","0.8%"
2022,"Care experienced","(CAH02-04) nursing and midwifery","4,910","670","13.5%","10.4%"
2022,"Care experienced","(CAH02-05) medical sciences","860","170","2.4%","2.6%"
2022,"Care experienced","(CAH02-06) allied health","1,490","220","4.1%","3.4%"
2022,"Care experienced","(CAH03-01) biosciences","870","160","2.4%","2.5%"
2022,"Care experienced","(CAH03-02) sport and exercise sciences","980","180","2.7%","2.7%"
2022,"Care experienced","(CAH04-01) psychology","2,340","430","6.4%","6.7%"
2022,"Care experienced","(CAH05-01) veterinary sciences","190","10","0.5%",""
2022,"Care experienced","(CAH06-01) agriculture, food and related studies","240","60","0.7%","0.9%"
2022,"Care experienced","(CAH07-01) physics and astronomy","240","40","0.6%","0.7%"
2022,"Care experienced","(CAH07-02) chemistry","200","40","0.5%","0.6%"
